"Obsojeni polnoletni in mladoletni po obèinah stalnega prebivališèa, Slovenija, letno"

"OBÈINE";"Število obsojenih polnoletnih in mladoletnih oseb 2006";"Število obsojenih polnoletnih in mladoletnih oseb 2007";"Število obsojenih polnoletnih in mladoletnih oseb 2008";"Število obsojenih polnoletnih in mladoletnih oseb 2009";"Število obsojenih polnoletnih in mladoletnih oseb 2010";"Število obsojenih polnoletnih in mladoletnih oseb 2011";"Število obsojenih polnoletnih in mladoletnih oseb 2012";"Število obsojenih polnoletnih in mladoletnih oseb 2013";"Število obsojenih polnoletnih in mladoletnih oseb 2014";"Število obsojenih polnoletnih in mladoletnih oseb 2015";"Število obsojenih polnoletnih in mladoletnih oseb 2016";"Število obsojenih polnoletnih in mladoletnih oseb 2017";"Število obsojenih polnoletnih in mladoletnih oseb 2018";"Število obsojenih polnoletnih in mladoletnih oseb 2019";"Število obsojenih polnoletnih in mladoletnih oseb 2020"
"SLOVENIJA";8630.0;9144.0;9228.0;8453.0;8423.0;7965.0;8825.0;11758.0;9729.0;8241.0;7006.0;6521.0;6324.0;6256.0;5007.0
"Ajdovšèina";53.0;42.0;30.0;27.0;33.0;26.0;56.0;34.0;35.0;30.0;34.0;31.0;43.0;17.0;18.0
"Ankaran/Ancarano";-;-;-;-;-;-;-;-;z;z;4.0;3.0;12.0;5.0;z
"Apaèe";0.0;12.0;19.0;23.0;21.0;19.0;18.0;19.0;18.0;20.0;15.0;7.0;12.0;7.0;8.0
"Beltinci";44.0;32.0;35.0;25.0;25.0;29.0;50.0;48.0;49.0;43.0;26.0;26.0;35.0;28.0;27.0
"Benedikt";8.0;5.0;13.0;15.0;13.0;13.0;10.0;19.0;6.0;7.0;8.0;5.0;8.0;7.0;z
"Bistrica ob Sotli";4.0;z;3.0;4.0;z;z;z;0.0;6.0;6.0;z;z;z;z;6.0
"Bled";39.0;31.0;32.0;26.0;21.0;24.0;20.0;33.0;17.0;22.0;14.0;13.0;6.0;9.0;10.0
"Bloke";z;3.0;0.0;z;4.0;z;z;z;5.0;z;6.0;z;5.0;z;z
"Bohinj";8.0;13.0;18.0;19.0;7.0;7.0;5.0;5.0;11.0;11.0;3.0;14.0;7.0;6.0;9.0
"Borovnica";13.0;13.0;6.0;9.0;5.0;4.0;4.0;13.0;8.0;18.0;11.0;6.0;z;7.0;z
"Bovec";4.0;5.0;8.0;z;6.0;5.0;7.0;8.0;3.0;9.0;4.0;6.0;6.0;4.0;z
"Braslovèe";5.0;3.0;6.0;8.0;7.0;9.0;10.0;13.0;16.0;12.0;10.0;11.0;10.0;14.0;10.0
"Brda";10.0;19.0;7.0;8.0;8.0;9.0;5.0;13.0;9.0;11.0;10.0;11.0;4.0;4.0;4.0
"Brezovica";5.0;15.0;11.0;19.0;14.0;18.0;26.0;36.0;27.0;33.0;11.0;19.0;28.0;13.0;17.0
"Brežice";90.0;141.0;121.0;79.0;74.0;61.0;107.0;103.0;93.0;77.0;58.0;72.0;66.0;43.0;49.0
"Cankova";z;4.0;4.0;z;9.0;5.0;0.0;5.0;7.0;3.0;9.0;4.0;6.0;10.0;z
"Celje";244.0;291.0;244.0;239.0;298.0;211.0;223.0;357.0;337.0;231.0;199.0;191.0;202.0;154.0;137.0
"Cerklje na Gorenjskem";8.0;8.0;8.0;8.0;10.0;6.0;12.0;11.0;15.0;12.0;13.0;9.0;7.0;9.0;11.0
"Cerknica";29.0;34.0;22.0;29.0;15.0;21.0;24.0;42.0;19.0;31.0;14.0;14.0;19.0;18.0;6.0
"Cerkno";z;3.0;5.0;4.0;6.0;6.0;4.0;4.0;8.0;4.0;5.0;10.0;z;6.0;5.0
"Cerkvenjak";4.0;8.0;6.0;7.0;6.0;13.0;13.0;12.0;8.0;8.0;6.0;9.0;4.0;z;4.0
"Cirkulane";0.0;10.0;9.0;9.0;9.0;7.0;5.0;6.0;7.0;z;5.0;7.0;10.0;z;5.0
"Èrenšovci";27.0;29.0;34.0;26.0;25.0;31.0;17.0;30.0;30.0;29.0;17.0;13.0;18.0;10.0;21.0
"Èrna na Koroškem";15.0;11.0;8.0;6.0;18.0;13.0;12.0;21.0;13.0;5.0;6.0;6.0;z;6.0;z
"Èrnomelj";101.0;117.0;96.0;112.0;94.0;97.0;93.0;159.0;137.0;106.0;77.0;86.0;73.0;77.0;65.0
"Destrnik";10.0;17.0;13.0;15.0;8.0;8.0;16.0;12.0;10.0;z;9.0;9.0;4.0;5.0;z
"Divaèa";10.0;6.0;16.0;9.0;10.0;3.0;13.0;14.0;20.0;14.0;13.0;5.0;7.0;4.0;z
"Dobje";0.0;0.0;0.0;0.0;z;z;z;3.0;z;4.0;0.0;z;4.0;z;5.0
"Dobrepolje";z;7.0;9.0;12.0;9.0;z;z;13.0;7.0;8.0;12.0;12.0;6.0;8.0;z
"Dobrna";z;4.0;z;6.0;10.0;6.0;4.0;7.0;5.0;5.0;7.0;11.0;8.0;8.0;z
"Dobrova - Polhov Gradec";z;z;z;6.0;3.0;z;8.0;5.0;5.0;10.0;12.0;3.0;4.0;9.0;z
"Dobrovnik/Dobronak";5.0;6.0;7.0;3.0;10.0;3.0;3.0;6.0;6.0;z;z;11.0;3.0;4.0;z
"Dol pri Ljubljani";5.0;10.0;4.0;6.0;14.0;5.0;5.0;12.0;13.0;20.0;10.0;12.0;7.0;14.0;4.0
"Dolenjske Toplice";7.0;9.0;12.0;13.0;15.0;8.0;13.0;13.0;9.0;10.0;11.0;8.0;7.0;z;5.0
"Domžale";112.0;117.0;179.0;93.0;93.0;111.0;111.0;152.0;109.0;99.0;116.0;83.0;77.0;80.0;54.0
"Dornava";6.0;8.0;14.0;11.0;10.0;11.0;4.0;17.0;3.0;7.0;12.0;7.0;11.0;10.0;7.0
"Dravograd";42.0;30.0;35.0;49.0;43.0;29.0;34.0;43.0;34.0;23.0;19.0;23.0;14.0;11.0;13.0
"Duplek";17.0;23.0;36.0;30.0;31.0;29.0;28.0;46.0;27.0;33.0;26.0;9.0;15.0;10.0;10.0
"Gorenja vas - Poljane";11.0;9.0;6.0;6.0;z;5.0;z;7.0;14.0;13.0;7.0;6.0;11.0;10.0;6.0
"Gorišnica";17.0;19.0;18.0;17.0;16.0;11.0;13.0;23.0;12.0;13.0;4.0;11.0;17.0;14.0;18.0
"Gorje";0.0;0.0;6.0;4.0;4.0;5.0;4.0;5.0;9.0;6.0;5.0;3.0;7.0;6.0;7.0
"Gornja Radgona";60.0;57.0;56.0;61.0;56.0;53.0;47.0;41.0;34.0;39.0;39.0;25.0;27.0;23.0;17.0
"Gornji Grad";0.0;z;z;5.0;z;0.0;5.0;5.0;5.0;3.0;5.0;z;3.0;4.0;8.0
"Gornji Petrovci";5.0;10.0;9.0;3.0;15.0;6.0;11.0;7.0;9.0;11.0;3.0;3.0;6.0;z;z
"Grad";10.0;7.0;6.0;3.0;5.0;4.0;5.0;7.0;0.0;3.0;5.0;z;z;z;z
"Grosuplje";50.0;69.0;93.0;58.0;53.0;103.0;100.0;123.0;134.0;86.0;69.0;85.0;83.0;79.0;58.0
"Hajdina";6.0;11.0;26.0;13.0;17.0;16.0;20.0;27.0;15.0;15.0;21.0;15.0;24.0;15.0;8.0
"Hoèe - Slivnica";13.0;19.0;33.0;40.0;38.0;23.0;28.0;39.0;34.0;50.0;51.0;37.0;31.0;34.0;27.0
"Hodoš/Hodos";4.0;z;7.0;0.0;4.0;0.0;z;0.0;0.0;z;5.0;z;0.0;z;z
"Horjul";z;z;3.0;3.0;3.0;z;z;6.0;6.0;6.0;z;z;z;z;z
"Hrastnik";21.0;44.0;60.0;42.0;56.0;29.0;32.0;46.0;39.0;23.0;22.0;18.0;27.0;24.0;22.0
"Hrpelje - Kozina";10.0;5.0;13.0;17.0;7.0;14.0;12.0;15.0;14.0;18.0;14.0;6.0;3.0;8.0;10.0
"Idrija";16.0;22.0;23.0;10.0;21.0;20.0;21.0;27.0;21.0;18.0;16.0;30.0;16.0;22.0;18.0
"Ig";17.0;20.0;30.0;16.0;23.0;18.0;17.0;36.0;19.0;24.0;13.0;18.0;9.0;6.0;14.0
"Ilirska Bistrica";30.0;42.0;45.0;45.0;29.0;52.0;29.0;39.0;37.0;21.0;27.0;21.0;24.0;37.0;25.0
"Ivanèna Gorica";36.0;17.0;29.0;17.0;19.0;21.0;14.0;43.0;26.0;37.0;35.0;30.0;25.0;26.0;14.0
"Izola/Isola";90.0;83.0;75.0;76.0;74.0;57.0;71.0;108.0;91.0;52.0;45.0;47.0;44.0;34.0;32.0
"Jesenice";147.0;147.0;152.0;100.0;95.0;95.0;102.0;95.0;105.0;59.0;74.0;56.0;67.0;68.0;57.0
"Jezersko";z;z;z;z;0.0;z;z;4.0;0.0;0.0;0.0;z;z;z;z
"Juršinci";5.0;8.0;11.0;9.0;10.0;11.0;5.0;8.0;6.0;7.0;10.0;13.0;6.0;9.0;6.0
"Kamnik";125.0;134.0;102.0;72.0;82.0;104.0;85.0;141.0;92.0;96.0;82.0;72.0;62.0;63.0;36.0
"Kanal";11.0;11.0;9.0;12.0;12.0;8.0;8.0;14.0;13.0;14.0;15.0;11.0;6.0;4.0;7.0
"Kidrièevo";16.0;24.0;25.0;14.0;27.0;23.0;27.0;35.0;21.0;20.0;26.0;12.0;37.0;17.0;10.0
"Kobarid";7.0;4.0;5.0;5.0;7.0;z;3.0;3.0;9.0;6.0;5.0;6.0;3.0;7.0;4.0
"Kobilje";z;z;3.0;z;0.0;0.0;z;5.0;3.0;6.0;z;z;3.0;z;z
"Koèevje";98.0;82.0;152.0;163.0;178.0;149.0;155.0;195.0;179.0;134.0;147.0;99.0;134.0;126.0;100.0
"Komen";9.0;3.0;7.0;z;3.0;3.0;10.0;6.0;7.0;7.0;4.0;4.0;9.0;5.0;6.0
"Komenda";4.0;9.0;5.0;14.0;3.0;10.0;6.0;18.0;15.0;11.0;9.0;7.0;z;5.0;z
"Koper/Capodistria";275.0;244.0;238.0;218.0;217.0;186.0;278.0;343.0;270.0;219.0;183.0;143.0;163.0;106.0;94.0
"Kostanjevica na Krki";0.0;3.0;0.0;4.0;4.0;z;10.0;9.0;5.0;5.0;5.0;4.0;3.0;z;z
"Kostel";z;0.0;z;z;z;z;4.0;3.0;z;z;0.0;z;z;-;z
"Kozje";7.0;6.0;10.0;8.0;3.0;z;9.0;5.0;6.0;7.0;7.0;5.0;3.0;8.0;5.0
"Kranj";241.0;210.0;150.0;124.0;138.0;134.0;199.0;212.0;212.0;147.0;111.0;127.0;133.0;85.0;93.0
"Kranjska Gora";27.0;11.0;15.0;12.0;9.0;11.0;12.0;9.0;13.0;22.0;7.0;6.0;16.0;8.0;7.0
"Križevci";12.0;4.0;6.0;3.0;5.0;11.0;5.0;8.0;8.0;17.0;8.0;9.0;11.0;6.0;5.0
"Krško";186.0;199.0;188.0;118.0;131.0;97.0;143.0;137.0;146.0;125.0;94.0;97.0;111.0;108.0;94.0
"Kungota";11.0;12.0;21.0;19.0;12.0;14.0;15.0;20.0;12.0;19.0;19.0;25.0;13.0;9.0;6.0
"Kuzma";6.0;5.0;10.0;4.0;3.0;8.0;4.0;9.0;6.0;z;3.0;z;5.0;z;z
"Laško";47.0;38.0;46.0;44.0;61.0;34.0;56.0;60.0;45.0;40.0;28.0;30.0;22.0;23.0;18.0
"Lenart";64.0;55.0;61.0;53.0;44.0;35.0;54.0;61.0;52.0;27.0;29.0;20.0;27.0;16.0;10.0
"Lendava/Lendva";74.0;64.0;74.0;62.0;82.0;69.0;71.0;88.0;65.0;57.0;40.0;59.0;65.0;52.0;26.0
"Litija";63.0;75.0;59.0;46.0;65.0;35.0;40.0;70.0;71.0;39.0;39.0;40.0;30.0;30.0;18.0
"Ljubljana";1213.0;1158.0;1085.0;970.0;959.0;969.0;988.0;1757.0;1323.0;1093.0;932.0;809.0;807.0;649.0;596.0
"Ljubno";0.0;z;3.0;z;4.0;4.0;7.0;6.0;9.0;6.0;7.0;5.0;8.0;-;z
"Ljutomer";79.0;85.0;102.0;79.0;82.0;70.0;88.0;78.0;58.0;33.0;39.0;45.0;41.0;34.0;27.0
"Log - Dragomer";0.0;z;4.0;z;z;z;z;10.0;4.0;7.0;7.0;6.0;8.0;10.0;9.0
"Logatec";29.0;32.0;32.0;18.0;33.0;31.0;17.0;50.0;28.0;28.0;29.0;19.0;16.0;13.0;22.0
"Loška dolina";7.0;4.0;z;7.0;7.0;3.0;3.0;7.0;9.0;5.0;0.0;z;7.0;4.0;z
"Loški Potok";4.0;z;z;7.0;4.0;0.0;z;6.0;4.0;6.0;8.0;3.0;3.0;z;z
"Lovrenc na Pohorju";z;5.0;10.0;11.0;12.0;10.0;z;4.0;9.0;5.0;7.0;7.0;4.0;z;11.0
"Luèe";0.0;0.0;0.0;0.0;z;0.0;0.0;0.0;0.0;z;z;z;z;z;z
"Lukovica";8.0;15.0;22.0;9.0;8.0;4.0;13.0;20.0;3.0;18.0;13.0;4.0;8.0;13.0;8.0
"Majšperk";10.0;7.0;10.0;18.0;16.0;11.0;12.0;16.0;11.0;8.0;15.0;11.0;12.0;4.0;5.0
"Makole";0.0;4.0;7.0;9.0;6.0;4.0;4.0;8.0;3.0;7.0;7.0;8.0;11.0;6.0;z
"Maribor";814.0;776.0;805.0;911.0;794.0;783.0;880.0;972.0;840.0;653.0;555.0;533.0;405.0;439.0;366.0
"Markovci";12.0;10.0;24.0;11.0;7.0;12.0;8.0;13.0;6.0;22.0;11.0;5.0;7.0;8.0;9.0
"Medvode";23.0;31.0;38.0;23.0;29.0;30.0;34.0;62.0;38.0;44.0;38.0;24.0;30.0;22.0;17.0
"Mengeš";20.0;19.0;23.0;12.0;21.0;15.0;10.0;23.0;19.0;17.0;15.0;18.0;18.0;7.0;6.0
"Metlika";35.0;32.0;33.0;33.0;24.0;32.0;33.0;80.0;32.0;43.0;54.0;36.0;38.0;39.0;32.0
"Mežica";17.0;17.0;18.0;11.0;6.0;8.0;21.0;13.0;6.0;8.0;14.0;3.0;5.0;10.0;5.0
